translation missing: pl.Czas pracy;Zagadnienie;2021-03-01;2021-03-02;2021-03-03;2021-03-04;2021-03-05;2021-03-06;2021-03-07;2021-03-08;2021-03-09;2021-03-10;2021-03-11;2021-03-12;2021-03-13;2021-03-14;2021-03-15;2021-03-16;2021-03-17;2021-03-18;2021-03-19;2021-03-20;2021-03-21;2021-03-22;2021-03-23;2021-03-24;2021-03-25;2021-03-26;2021-03-27;2021-03-28;2021-03-29;2021-03-30;2021-03-31;Ogółem
Podstawowy;"";7,50;7,50;7,50;7,50;7,50;"";"";7,50;7,50;7,50;7,50;7,50;"";"";7,50;7,50;7,50;7,50;7,50;"";"";7,50;7,50;7,50;7,50;7,50;"";"";7,50;7,50;7,50;172,50
"";Zadanie #95591: Przygotowanie środowiska pracy.;"";"";5,00;2,00;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";7,00
"";Zadanie #95951: Analiza dokumentacji i kodu, spotkania;"";"";0,50;5,50;0,50;"";"";0,50;0,50;0,50;0,50;5,00;"";"";"";1,00;"";"";1,50;"";"";0,50;0,50;0,50;0,50;5,00;"";"";"";1,00;0,50;24,50
"";Task #96298: [Front] Podmiana adresów aplikacji Envelo;"";1,50;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1,50
"";Błąd #96729: [FIX] Błędne zachowanie walidacji pola kwota dla przelewu SEPA;"";3,00;"";"";"";"";"";4,00;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";7,00
"";Task #96920: [FrontEnd] Zmiana komunikatu dotyczącego godziny granicznej na formatce przelewów SEPA;1,00;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1,00
"";Task #97003: [Frontend] Zamówienie Hasła do Telekonta;"";"";"";"";6,00;"";"";3,00;7,00;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";16,00
"";Błąd #97028: [FIX] Ostatnie transakcje z konta, którego nie widać w bankowości.;"";1,00;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1,00
"";"Błąd #97030: [ASAP][RWD] Link ""Poznaj podstawowe zasady bezpiecznej bankowości"" prowadzi do starej strony EnveloBanku";1,00;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1,00
"";"Błąd #97031: [FIX][PROD][DEMO] Klieknięcie na moduł ""Market"" powoduje przekierowanie do eSklepu Poczty Polskiej";"";2,00;1,00;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";3,00
"";Błąd #97043: [FIX] TSB - 18645 Zły status zdarzenia w Kalendarzu po jego opłaceniu.;"";"";1,00;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1,00
"";Błąd #97045: [FIX] TSB-761199:RQ_SRS_388 [FN] BIM.PL.PR.ZW - Przelew zwykły: Blokada przelewów zwykłych na rachunki IRP i US;5,50;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";5,50
"";Envelo Błąd-TL #97211: Brak załadowanych ostatnich transakcji na Pulpicie.;"";"";"";"";1,00;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1,00
"";Envelo Błąd PROD #97302: Brak salda po transakcji przy operacji kartą w PayU;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";2,00;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";2,00
"";Envelo Błąd-TL #97343: Niepotrzebne pola w podsumowaniu przelewu podatkowego do ZUS;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0,50;"";1,00;"";"";"";"";"";"";"";"";"";"";"";"";"";1,50
"";Envelo Błąd-TL #97344: Nieprawidłowa zmiana nazwy uzupełnianego pola na formatce przelewu podatkowego do innego organu podatkowego;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0,50;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0,50
"";Task #97397: [Frontend] Zamówienie Hasła do Telekonta part 3;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";7,00;7,00;7,00;7,00;2,50;"";"";"";"";"";30,50
"";Task #97398: [FRONTEND] Zapewnienie wydajności;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1,00;6,50;4,50;6,00;"";"";"";"";"";"";"";"";"";"";"";"";18,00
"";Task #97401: [FRONTEND] wydanie wersji na QA oraz INT do testów;"";"";"";"";"";"";"";"";"";"";"";"";"";"";1,00;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1,00
"";Envelo Błąd-TL #97418: Błędne przekierowanie po kliknięciu 'Pobierz' w przeglądarce mobilnej;"";"";"";"";"";"";"";"";"";"";"";1,00;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1,00
"";Envelo Błąd PROD #97454: Dodatkowe przekierowanie przy wylogowaniu z aplikacji RWD w przeglądarce na telefonie;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";2,00;"";2,00;"";"";"";"";"";"";"";"";"";"";"";"";"";4,00
"";Task #97471: automatyczny deployment na nexusa;"";"";"";"";"";"";"";"";"";7,00;7,00;1,50;"";"";6,50;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";22,00
"";Envelo Błąd PROD #97507: W sieci banku błędne przekierowanie do https://nowy.pocztowy24.pl;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0,50;1,00;"";"";"";"";"";"";"";"";"";"";"";"";"";"";1,50
"";Envelo Błąd PROD #97658: [DEMO]Brak formatki, po kliknięciu 'Dodaj Środki' ;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1,50;"";"";1,50
"";Envelo Błąd PROD #97659: [DEMO] W wersji desktopowej brak przycisku 'Przelej na cel'/ brak formatki;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";6,00;"";"";6,00
"";Envelo Błąd-TL #97859: Zbyt mały odstęp między walutą a linkiem do limitu;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1,00;"";1,00
"";User Story #97967: Deployment demo z poziomu GitLaba;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";5,50;7,00;12,50
Ogółem;"";7,50;7,50;7,50;7,50;7,50;"";"";7,50;7,50;7,50;7,50;7,50;"";"";7,50;7,50;7,50;7,50;7,50;"";"";7,50;7,50;7,50;7,50;7,50;"";"";7,50;7,50;7,50;172,50
