translation missing: pl.Czas pracy;Zagadnienie;2021-09-01;2021-09-02;2021-09-03;2021-09-04;2021-09-05;2021-09-06;2021-09-07;2021-09-08;2021-09-09;2021-09-10;2021-09-11;2021-09-12;2021-09-13;2021-09-14;2021-09-15;2021-09-16;2021-09-17;2021-09-18;2021-09-19;2021-09-20;2021-09-21;2021-09-22;2021-09-23;2021-09-24;2021-09-25;2021-09-26;2021-09-27;2021-09-28;2021-09-29;2021-09-30;Ogółem
Podstawowy;"";7,50;7,50;7,50;"";"";7,50;7,50;7,50;7,50;7,50;"";"";7,50;7,50;7,50;7,50;7,50;"";"";7,50;7,50;7,50;7,50;7,50;"";"";7,50;7,50;7,50;7,50;165,00
"";Zadanie #95951: Analiza dokumentacji i kodu, spotkania;2,00;2,50;2,50;"";"";7,50;0,50;0,50;0,50;6,50;"";"";1,00;1,00;1,00;1,00;1,00;"";"";7,50;0,50;3,00;2,00;1,00;"";"";1,00;1,00;2,00;1,00;46,50
"";Task #101960: [FRONTEND] Przebudowanie przypadków autoryzacji SMS - part 4;"";"";"";"";"";"";5,00;7,00;7,00;"";"";"";"";"";"";"";"";"";"";"";"";2,50;5,50;"";"";"";"";"";"";"";27,00
"";Task #101964: [FRONTEND] Przebudowanie strony logowania nowego P24;5,50;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";4,00;6,50;16,00
"";Błąd #102049: [SMS/AUTORYZACJA] Brak wyśrodkowania tekstu przy oknie zrywania lokaty, gdy szerokość >768 ;"";1,00;2,00;"";"";"";2,00;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";5,00
"";Błąd #102055: [SMS/EDYCJA_DANYCH] Przy szerokości <767px wyświetla się pusty ekran.;"";"";"";"";"";"";"";"";"";1,00;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1,00
"";Envelo Błąd PROD #102077: [S12][Prezes]Zmiana komunikatu na formatce przelewu zwykłego.;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1,00;"";"";"";"";"";"";1,00
"";Błąd #102233: [SMS/WYCIĄGI] Nieaktualny widok autoryzacji;"";3,00;2,00;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";5,00
"";Envelo Błąd-TL #102255: TSB-752424451:Historia transakcji - pole wyszukiwania transakcji nie działa;"";1,00;1,00;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";2,00
"";Task #102382: [FRONTEND] Development ekranów związanych z ustawieniami autoryzacji RWD;"";"";"";"";"";"";"";"";"";"";"";"";6,50;6,50;6,50;6,50;6,50;"";"";"";"";"";"";"";"";"";"";"";"";"";32,50
"";Błąd #102453: [SPLIT PAYMENT]Przelew zaplanowany własny;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";3,00;"";"";"";"";"";"";"";"";"";3,00
"";Błąd #102454: [SPLIT PAYMENT]Przelew zaplanowany podatkowy;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";2,00;"";"";"";"";"";"";"";"";"";2,00
"";Task #102604: Zmiana z 'Odbiorca dostępny w Telekonto' na 'Odbiorca dostępny w bankowości telefonicznej';"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";2,00;"";"";"";"";"";"";"";"";"";2,00
"";Błąd #102692: [FIX]Lokata- nieaktywny przycisk przekierowujący do oferty;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";2,00;"";"";"";"";"";"";"";"";2,00
"";Task #102815: [FRONTEND] Ekrany dot. zarządzania urządzeniami - token mobilny;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";5,50;"";"";6,50;6,50;1,50;"";20,00
Ogółem;"";7,50;7,50;7,50;"";"";7,50;7,50;7,50;7,50;7,50;"";"";7,50;7,50;7,50;7,50;7,50;"";"";7,50;7,50;7,50;7,50;7,50;"";"";7,50;7,50;7,50;7,50;165,00
