translation missing: pl.Czas pracy;Zagadnienie;2021-10-01;2021-10-02;2021-10-03;2021-10-04;2021-10-05;2021-10-06;2021-10-07;2021-10-08;2021-10-09;2021-10-10;2021-10-11;2021-10-12;2021-10-13;2021-10-14;2021-10-15;2021-10-16;2021-10-17;2021-10-18;2021-10-19;2021-10-20;2021-10-21;2021-10-22;2021-10-23;2021-10-24;2021-10-25;2021-10-26;2021-10-27;2021-10-28;2021-10-29;Ogółem
Podstawowy;"";7,50;"";"";7,50;7,50;7,50;7,50;7,50;"";"";7,50;7,50;7,50;7,50;7,50;"";"";7,50;7,50;7,50;7,50;7,50;"";"";7,50;7,50;7,50;7,50;7,50;157,50
"";Task #95951: Analiza dokumentacji i kodu, spotkania;1,50;"";"";1,50;7,50;4,50;2,50;3,00;"";"";1,50;3,00;3,00;0,50;2,00;"";"";7,50;4,00;3,00;3,00;2,00;"";"";4,00;6,50;1,50;2,00;1,00;65,00
"";Błąd #102692: [FIX]Lokata- nieaktywny przycisk przekierowujący do oferty;"";"";"";"";"";3,00;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";3,00
"";Task #103203: [FRONTEND] Zmiana hasła po przymusowej migracji;"";"";"";"";"";"";"";"";"";"";3,00;3,50;4,50;7,00;3,00;"";"";"";"";"";"";"";"";"";"";"";"";"";"";21,00
"";Task #103286: [FRONTEND] Autoryzacja kodem SMS - autofocus;"";"";"";"";"";"";2,00;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";2,00
"";Task #103314: [FRONTEND] Likwidacja programu lojalnościowego EnveloBonus;"";"";"";"";"";"";"";2,00;"";"";3,00;"";"";"";0,50;"";"";"";"";"";"";"";"";"";"";"";"";"";"";5,50
"";Task #103315: [FRONTEND] kalendarz - brak zaplanowanych wydarzeń;"";"";"";"";"";"";"";"";"";"";"";1,00;"";"";2,00;"";"";"";"";"";"";"";"";"";"";"";"";"";"";3,00
"";Task #103583: Unifikacja changelog'a z buildem frontendowym;6,00;"";"";6,00;"";"";3,00;2,50;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";5,50;6,50;29,50
"";Task #103813: [FRONTEND] Wyseparowanie mockow jako oddzielny serwer lokalny;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";3,50;4,50;4,50;5,50;"";"";3,50;"";"";"";"";21,50
"";Błąd #103894: Niepoprawny komunikat w Kalendarzu;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1,00;"";"";"";1,00
"";Błąd #103969: Błędny numer kontaktowy na ekranie wysłania hasła do bankowości telefonicznej.;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1,00;"";"";1,00
"";Błąd #103970: Logowanie do BI- 'przeskakujący' ekran podczas autoryzacji SMS;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";2,00;"";"";2,00
"";Task #104005: [FRONTEND] Baloniki Zobowiązań na pulpicie;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";3,00;"";"";3,00
Ogółem;"";7,50;"";"";7,50;7,50;7,50;7,50;7,50;"";"";7,50;7,50;7,50;7,50;7,50;"";"";7,50;7,50;7,50;7,50;7,50;"";"";7,50;7,50;7,50;7,50;7,50;157,50
